name,salary,experience,views,applications,description
Junior Strong Python Engineer,,1,336,138,"Our mission at Geniusee is to help businesses thrive through tech partnership and strengthen the engineering community by sharing knowledge and creating opportunitiesWe care about Trust, Partnership, Transparency, and Responsibility. We offer a safe, inclusive and productive environment for all team members, and were always open to feedback If you want to work from home and be a full-time employee or work in the city center of Kyiv, great  apply right now.About the project:The company develops customized permit management strategies tailored to each clients project. These strategies are designed to address unique challenges, regulatory requirements, and objectives, making the permit acquisition process efficient and effective.What you will need: 1+ years of experience with Python; Experience with best code styles practice; Experience with pytest and other testing frameworks; Experience with SQL and NoSQL databases; Experience FastAPI, Django, or Flask; Upper-Intermediate English level.Would be a plus: Experience with Docker; Experience with cloud infrastructure.What will you get: Competitive salary and good compensation package; Exciting, challenging and stable startup projects with a modern stack; Corporate English course; Ability to practice English and communication skills through permanent interaction with clients from all over the world; Professional study compensation; Career development opportunity, semi-annual and annual salary review process; Necessary equipment to perform work tasks; VIP medical insurance or sports coverage; Informal and friendly atmosphere; The ability to focus on your work: a lack of bureaucracy and micromanagement; Flexible working hours (start your day between 8:00 and 11:30); Team buildings, corporate events; Paid vacation (18 working days) and sick leaves; Cozy offices in 2 cities ( Kyiv & Lviv ) with electricity and Wi-Fi ( Generator & Starlink ) Unlimited work from home from anywhere in the world (remote); Geniusee has its own charity fund.Reasons you will love working at Geniusee: Employee-friendly working conditionsOne of Geniusees core values is treating each team member like a trusted partner. You get to choose your work environment because you know yourself best. Teamwork beats distanceWe put effort into maintaining a happy, friendly atmosphere within the team. We see each other at team meetups, workshops, G-talks, marathons, and other events. Excellent tools and equipmentYou dont have to worry about your work gear, Geniusee will provide you with high-quality hardware appropriate for your job description.Your Geniusee Career Growth: 360-degree feedback  a process through which feedback from an employees subordinates, colleagues, and supervisor, as well as a self-evaluation by the employee themselves, is gathered Evaluation  time to talk with an expert. Together, you will assess the progress you have achieved Navigation  summarize your review with a manager and define your future goals"
Senior Backend Engineer (Python)$3500-4500,$3500-4500,5,23,3,": Python 3.9, Django 4, DRF, Celery, PostgreSQL, Redis, Kafka, RabbitMQ, OpenAPI, Swagger, PytestRequirements:5+     Python Developer     Python      SQL.   //         SQL       (Big O)    REST API i  Celeryi    RabbitMQ  Kafka     DRF  FastAPI  Docker  Docker Compose  Redisi smoke/unit    Pytest  Redis bash  Redis Git problem-solving  :     ,   Grafana, Prometheus / LOKI, Data Dog .   CI/CD  cloud    -  :               ,  QA, Frontend, DevOps         RFC   System Design         .             .         , 1-to-1       .         . .          .   18   , 10     ( )   .            .   ?         -.     ,     .    .    .        .      ,     .     PRC.  .   -    .    ,  ,      ,     ,   .    ,             .  ,           .  Python 3.9, Django 4, Celery, ProtobufPostgreSQL, Redis, Kafkaasyncio / aiohttpDocker, Kubernetes,    Django-  ,  ,    asyncio / aiohttp       (, SMS-).     RabbitMQ.       Erlang,    websocket .   100   backend-.   Postgres.          ,      .    Redis.     React / Redux.     Python 3    Django.           ."
Python Developer,,1,173,19,"Looking for a Python Developer to join the Dataforest team. If you are looking for a friendly team, a healthy working environment, and a flexible schedule  you have found the right place to send your CV.Skills requirements: 1 year+ experience with Python; Experience with web scrapping and html parsing; Experience with SQL; Experience with Web automation; Experience with libraries/ frameworks: Beautifulsoup, selenium, lxml;Optional skills (as a plus): Experience with NoSQL and in-memory DB; Experience with Pandas. Experience with Flask, Flask-RESTful Experience with linux, AWS, GCP; Experience with 2captcha, anticaptcha; Experience with pyautogui; Experience with virtualdisplay.Key responsibilities: Develop scraping and parsing solutions; Develop API, ETL pipelines, other data integration services ; Collaborate with Project Managers to solve customer problems; Optimize applications regarding project requirements; Collaborate with team members, take part in meetings, brainstorms. We offer: Great networking opportunities with international clients, challenging tasks; Building interesting projects from scratch using new technologies; Personal and professional development opportunities; Competitive salary nominated in USD; Paid vacation and sick leaves, medical insurance; Flexible work schedule; Friendly working environment with minimal hierarchy; Team building activities, corporate events."
Middle/Senior Python developer$2500-4500,$2500-4500,3,25,11,We are currently seeking a developer for a long-term collaboration from Ukraine and Europe. Our company is engaged in various projects that require skilled and dedicated individuals to contribute their expertise.Responsibilities:- Development of the important platforms components.- Participation in planning and estimation sessions.- Building solutions from scratch.- Transformation of the requirements to a set of unit tests.- Code review.Requirements:-Python - experience: 4+ years-Knowledge of JavaScript would be a plus -Knowledge of AI would be a plus - English: Intermediate and higher- Excellent communication skillsWe offer:- Short hiring process (2 interviews)- Long term contract- freelance projects
"Python Developer - NLP and AI Automation Solutions (LLM, RAG, NLP, LLaMA, ChatGPT Agents, Auto-GPT, LangChain)",,3,101,28,"We are looking for experienced Python developers to work on AI workforce automation solutions (LLM/RAG + NLP). Our technical stack: * OpenAI's GPT API * LangChain* Faiss* Chroma* FastAPI * LlamaIndex (GPT-index) * MongoDB * AWS * NLTK / NLP / NLU Please do explicitly mention if you have experience with any of the above. Please mention ""42"" in your response. Automation with LLM/RAG apps is a new and very fast-developing field, production experience with Python is necessary, but everything else you can learn if you are curious enough. Clear thinking and clear communication in written English is required."
Strong Junior Python Developer,,1,261,68,"REQUIREMENTS:- 1+ year of commercial experience- Knowledge of Python, Django or Flask- Knowledge of SQL- Understanding of the HTTP protocol and RESTful APIs- Command of Linux/UNIX environment (shell, scripting, tools)- Unit tests- Knowledge of HTML/CSS and Ajax- Upper Intermediate+ English- Upper Intermediate Ukrainian or RussianWOULD BE A PLUSKnowledge of one of the modern frameworks such as Angular / ReactJS / VueRESPONSIBILITIES:- Development of components and applications in Python / Django;- Maintenance of existing applications;- Tasks estimation;- Writing technical documentation and reports.YOUR BENEFITS:- Extensive experience and remote work possibilities- Hands-on training support - Paid vacation and sick days- Insurance compensation- Partial compensation of gym membership, English courses, books, materials for developing etc.- Unique company that is focused on the solutions development for specific business niches- Opportunity to get more experience with events, conferences, seminars, master classes and training at the companys expense- Best management and team support: we are always happy to hear from colleagues about their business & technology ideas- Opportunity to implement your ideas on our internal projects- Regular salary revisionPlease note that the vacancy now has a requirement to do a test task, if not ready to perform, please do not respond."
"Strong Middle/ Senior Full Stack Developer (Python, React Native)",,3,21,8,"About the project:The platform is focused on enhancing cardiovascular health management through a wearable smart ring. It aims to provide continuous monitoring of heart health, sleep quality, and exercise impact, catering to individuals with cardiac conditions or those at risk. The integration of AI for ECG analysis and remote patient monitoring makes it a valuable tool for both patients and healthcare providers.Tech Stack:Back-end:Python (FastApi, Celery, SQLAlchemy), Docker, AWS cdk, PostgreSQL.Front-end:React Native, redux, typescript, Bluetooth, Offline mode (watermelon db), auth0, charts.Talent youll bring into our team: 2+ years of Python back-end development experience 2+ years of React Native development experience Knowledge of patterns and data structures Experience with Docker Experience with AWS.Responsibilities: Development of the back-end (Python) for health tracking and analyzing platform Development of the cross-platform React Native application with IoT health tracker Performing role of the architect. Introducing and implementing best engineering practices Reviewing existing codebase and suggesting re-factoring.What we offer:Professional Growth opportunities: Ambitious goals and interesting projects We have one of the most competitive software development academy in Ukraine  Binary Studio Academy. In 2022, it became international and attracted more than 10,000 applicants. Its a free online initiative that offers intensive training to participants. As a member of our team, youll have the opportunity to enroll as a coach or lecturer in the academy and hone your leadership and project management skills! Regular & transparent performance and salary review based on results of work Mentorship and Personal Development Plans for everyone in the company by request Regular educational events from our internal experts (you can be one of them) Possibility for both vertical or horizontal growthBenefits program: Paid vacation, paid sick leaves, 10 Public holidays, additional days off Educational budget and support in receiving certificates/attending conferences, etc. Accounting support English lessonsComfortable Working conditions: Flexible working hours Amortization program or provision of required equipment Hybrid working model (remote or from a cozy office in Kyiv or Lviv) Gaming room with table tennis and board gamesCommunity: Various corporate events (psychological training, based on employees needs to care about mental health, New Year celebration, team buildings, etc) Celebration of important personal and project milestones (project successes, B-days, anniversaries, marriage, childbirth) Support of team members during russian aggression (evacuation, safe accommodation in Western Ukraine, financial support for those who joined Armed Forces, donations, etc.)"
Odoo and Python back Developer,,1,202,20,"Are you an experienced Odoo and Python back Developer looking for an exciting opportunity to showcase your skills and work with a dynamic team and projects? We are an outsours/outstaff company, working with various projects and technologies. We are currently looking for an Odoo and Python back Developer for one of our clients.Requirements:- 2 years of hands-on experience in Odoo development.- Strong proficiency in Python programming language.- In-depth knowledge of Odoo framework and its various modules.- Experience in customizing and extending Odoo modules to meet specific business needs.- Familiarity with web technologies such as HTML, CSS, and JavaScript.- Excellent problem-solving and analytical skills.- Strong communication and collaboration abilities.- Ability to work independently and meet project deadlines.- Good spoken EnglishWe offer a flexible and remote-first work environment that allows you to work from anywhere while collaborating with a diverse and talented team. Join us and be part of our exciting journey to deliver exceptional Odoo and Python back solutions to our clients.Do you want to be part of the team?Then cast aside all doubts and feel free to send your resume"
Staff Software Engineer/Tech lead,,5,15,2,"Tech Lead is a technical expert and a leader who plays a crucial role in guiding the development team, making technical decisions, and ensuring the successful delivery of a high-quality software product.You will make high-level design decisions, ensuring the overall system architecture aligns with the projects goals and requirements. Planning for the systems scalability as the project evolves, anticipating future requirements, and making architectural decisions that support scalability. Identifying and addressing performance bottlenecks in the design, optimizing code and architecture for better performance, identifying and mitigating technical risks associated with the project, anticipating potential challenges, and proposing preemptive solutions.Reviewing code written by team members to ensure adherence to coding standards and best practices and that it aligns with the overall project architecture.Providing guidance and mentorship to team members, assisting in their professional development, and helping them overcome technical challenges.Facilitating communication between different teams or departments involved in a project, ensuring everyone is on the same page regarding technical aspects. Acting as a technical liaison between the development team and clients or stakeholders, communicating technical concepts clearly and understandably.Collaborating with project managers to create a technical roadmap and ensuring that technical tasks align with project milestones.Being a go-to person for addressing technical issues and challenges, troubleshooting problems, and finding efficient solutions.Your TeamThere are three people on the team. You will report directly to your manager. The Reporting team builds event-based and high-load reporting applications on Python, Go, and AWS while also using a bunch of other advanced technologies. Our service manages thousands of requests per second, handling tens of millions of transactions or terabytes of data each month.How We WorkOur daily work is based on DevOps and XP practices  TDD, Automation Testing, CI/CD. There are daily stand-up meetings, sprint planning, reviews, demo sessions, and retrospective meetings.What We OfferLegal employment;Continuous learning: technical, soft, and leadership skills; free English language classes; participation in conferences, workshops and meetups; free access to linkedin learning and an internal knowledge database;Daily work in distributed teams and communication with American colleagues;Medical insurance;Free snacks;A sports club membership;Paid sick and maternity/paternity leaves + official days off;28 vacation days;Flexible schedule outside the core hours;Regular team outings;A cozy office in the center of Kyiv.Requirements:5+ years developing in Python using any web framework;Experience with GoExperience with relational databases (Postgres, MySQL or any other);Experience with NoSQL databases (Elasticsearch or any other);Experience with in-memory caches (Redis, Memcached or any other);Experience with AWS or any other cloud provider infrastructure (Lambda, API Gateway, Kinesis, S3, EC2, DynamoDB, SQS);Experience with distributed systems;Experience with high-loaded backend services;Advance English.Extra Points For:Experience with event-driven services;Experience with Kubernetes;Deep understanding of DynamoDB including advanced single table patterns.Any experience with EDI (Electronic Data Interchange)"
Senior QA Manual/Automation (Python),,5,18,1,"Project Description:Development of monitoring and diagnostics system. It fulfils both local and remote data access and analytics requirement, as well as local and remote troubleshooting purpose.Responsibilities:Work with the Product Owner to define test cases that prove the acceptance criteria for incoming user stories for the Web apps. Create functional and non-functional UI Communicate clearly in English with the development engineers regarding test expectations and defects.  Use defect tracking tools to log and clearly describe defects and conditions for reproducing them.  Contribute to design and estimation conversations.  Contribute to the quality of the solutions by identifying issues in architecture, design and implementation  Contribute to our Agile development process as a scrum team member from requirements analysis and design up through final feature acceptance and deploymentMandatory Skills Description: At least 6 years of creating and executing test cases IoT experience, protocols Modbus, OPC timeseries DBs Working knowledge of functional and non-functional software testing, the software test life cycle, and various test design methodologies (function, performance, accessibility, scenario etc.). Test cases creation and execution based on Customer and Software requirements Python 3+ years of experience Experience of setting up testing framework from scratch Experience in testing of Backend (API) and data quality Knowledge of API testing tooling like Postman, Swagger DBs basics and SQL database usage expert Familiar with IoT and Time series data handing knowledge Linux knowledge Experience with AWS services CI/CD (Jenkins) Experience with Performance testing Good soft skills in communication. Exemplary verbal and written communication skills (English). Creative problem-solver capable of creating and reproducing interesting software bugs.Nice-to-Have Skills:- Experience in cooperation with QA automation team- AWS Green Grass- Experience or knowledge of Industrial protocols (Modbus)Languages:English: B2 Upper Intermediate"
Middle/Senior Full-Stack Developer (Django+React),,3,79,13,"Looking for Middle/Senior Full-Stack Developer (Django+React)Duration 6+ monthStart ASAPRequirements:Back:- 3-4+ years of experience in commercial development in Python language- Experience in commercial development with Django Framework, - Django REST and popular libraries (Celery, Pytest, etc.)- Experience with relational DBMS (MySql or PostgreSql)- Skills in Unit testingFront:- Experience with HTML5, CSS3, JavaScript at least 2,5 year- Skills and experience in valid, cross-browser and semantic layouts, responsive sites, knowledge of Material, Bootstrap or analogues- Experience with React, Redux, Redux Toolkit, TypeScript- Skills in Unit testing-  At least upper-intermediate  level of English"
Senior Python Developer$3500-5000,$3500-5000,5,14,1,"Newsoft is looking for a Senior Python Developer with experience in React to join the company. The project is in the cybersecurity domain and is dedicated to protecting devices, including various types of equipment, from cyber risks. Requirements: 5+ years of professional software development experience. Expertise in Python with over 4 years. Strong experience in web development utilizing Flask and associated frameworks. Experience in frontend engineering using React, emphasizing the construction of complex web applications. Understanding of RESTful APIs and the ability to integrate front-end interfaces with back-end systems. Solid understanding of SQL, with a preference for Postgres, and hands-on experience with ORM technologies such as SqlAlchemy, Django ORM, etc. Proficient use of Git for version control. At least Upper-intermediate level of English.Nice-to-Have Skills: Experience with well-known tools like Docker and Kubernetes for containerization. Experience working with AWS or other cloud service providers.Responsibilities:  Work collaboratively with product management and design teams to create visually engaging, interactive interfaces.  Create high-quality, scalable, reusable code to guarantee efficient and seamless user experiences.  Conduct code reviews, offering valuable feedback to maintain code quality and uphold best practices.  Collaborate closely with backend developers and quality assurance teams to integrate and effectively test front-end components.  Contribute to the ongoing improvement of development processes and methodologies within the team.Interview stages:  HR interview (30 minutes). Technical interview (1 hour). Interview with the customer (1 hour). Job offerWe offer: Competitive salary + bonuses. Challenging tasks and projects. Opportunities for professional development and growth. Flexible working hours. New hardware. Free English lessons.Table tennis and yoga classes. Availability of generators and Starlinks in the office. Small gym and table tennis in the office. Adjustable height tables. Regular office fruit delivery and other benefits.Lets create value together!"
QA Manual/Automation Engineer (with Python),,5,35,1,"Project Description:Development of monitoring and diagnostics system. It fulfils both local and remote data access and analytics requirement, as well as local and remote troubleshooting purpose.Responsibilities:Work with the Product Owner to define test cases that prove the acceptance criteria for incoming user stories for the Web apps. Create functional and non-functional UI Communicate clearly in English with the development engineers regarding test expectations and defects.  Use defect tracking tools to log and clearly describe defects and conditions for reproducing them.  Contribute to design and estimation conversations.  Contribute to the quality of the solutions by identifying issues in architecture, design and implementation  Contribute to our Agile development process as a scrum team member from requirements analysis and design up through final feature acceptance and deploymentMandatory Skills Description: At least 6 years of creating and executing test cases Working knowledge of functional and non-functional software testing, the software test life cycle, and various test design methodologies (function, performance, accessibility, scenario etc.). Test cases creation and execution based on Customer and Software requirements Python 3+ years of experience Experience of setting up testing framework from scratch Experience in testing of Backend (API) and data quality Knowledge of API testing tooling like Postman, Swagger DBs basics and SQL database usage expert Familiar with IoT and Time series data handing knowledge Linux knowledge Experience with AWS services CI/CD (Jenkins) Experience with Performance testing Good soft skills in communication. Exemplary verbal and written communication skills (English). Creative problem-solver capable of creating and reproducing interesting software bugs.Nice-to-Have Skills:- Experience in cooperation with QA automation team- AWS Green Grass- Experience or knowledge of Industrial protocols (Modbus)"
Продуктова компанія перебуває у пошуку Python Engineer,,3,101,2,"  '         Python Engineer.            .  5-   ,           .        Data Science     .     -.            .   Python  Data Science . : ,   , /,   . :    (. ).    Python, API   . :   ML,   ."
Cyber Security QA with Python,,2,278,28,"We're seeking a skilled Software Engineer to spearhead the automation of REST API security testing by adopting existing open-source tools and frameworks. If you're passionate about cutting-edge technology and have a knack for clean coding, we want you to join our dynamic team.Requirements:- Perfect knowledge of data structures, computation complexity, and algorithms.- Proven experience in clean coding practices.- A team player with excellent collaboration skills.- Strong ownership mentality and accountability for features shipped.- Demonstrated interest in the broader product and feature vision.- Comfortable with writing comprehensive documentation and specifications. Preferred Qualifications (A Big Plus):- Google Cloud certification.- Python certification.- Kubernetes certification.- Terraform certification.- Experience with Google Spanner, BigQuery, Elastic, Redis, and other databases.- Expertise in SSO, OAuth2, OIDC, SAML.Responsibilities:- Lead the automation efforts for REST API security testing, leveraging existing open-source tools and frameworks.- Collaborate with cross-functional teams to ensure seamless integration of security testing processes.- Take ownership of features from conception to implementation, ensuring high-quality delivery.- Contribute to the product vision with a keen interest in innovation and improvement.- Demonstrate a strong ability to learn independently, coupled with a can-do attitude and excellent interpersonal skills.- Proficiently write documentation, specifications, and conduct unit testing.We offer: Full-time employment; Weekend on Ukrainian calendar holidays; Opportunities for career and salary development; Partial compensation for English and sports; In-house speaking club EN; Opportunities for self-realization, professional and stable career growth; Paid leave and sick leave; Accounting support; Corporate events, team building, etc.If you're ready to make a significant impact in a collaborative environment and have the skills we're looking for, apply now! Join us in shaping the future of secure API development."
Senior Full Stack Python Developer,,5,20,5,"We have a request from our potential client in Japan. The customer is looking for a Senior Full Stack Python Developer (or Back End) with good spoken English. Below, we propose to consider detailed requirements and a description of the clients company:The company is a Tokyo-based company which focuses on solving problems in English as Second Language industry. Over 500k students aged 6-15 and counting.New feature development and current feature improvement. Working in a team and whether or not that person gets to work on maintenance or new features depends on whats in the immediate sprint. So the person should be prepared to do both. But on that note, we will definitely reject candidates whos just worked on building things from zero to, you know, to somewhat in the state.Technology:Must-have technologies for Back End Developer: Django, AWSMust-have technologies for Full Stack Developer: Python, TypeScript, Vue.js or React.js, AWS (80% back/20% front)- Python, Django, experience in migration from monolith to microservices- Development experience in a team using a version control system such as Git or SVN- Experience in improving release cycles through the application of CIResponsibilities:- Back-end development using Python and Django- Front-end development using TypeScript and Vue.js- Infrastructure construction and operation using AWS- QA and release such as introduction and improvement of automated tests Cycle improvement/natural language processing/speech evaluation- Development and operation of the platform- Scrum development using 2-week sprints- Code version control using Github- Performance improvement- Consideration and discussion of development items based on user feedback, etc.Nice to Have:- Experience working with React or Vue.- Development of iOS and Android apps (the developer must have a good sense of how things work (the user interface and how user interaction in general works in mobile). Understanding how web communicates with mobile devices- Business-level English skills- Information engineering or related degree- Experience in developing apps using voice"
Senior Python Backend Developer,,5,62,11,"Drive-thru restaurants have employees multi-task by taking orders, packing food, taking payments, and more. This translates to long wait times and extremely high stress for employees. Currently, the restaurants are experiencing a major hiring crisis due to this extreme stress and increasing minimum wage.Most quick-service restaurants had begun to search for a more elegant solution that improves customer experience, increases speed, accuracy, average ticket size, and reduces employee stress. Our AI greets the customer, takes the order, and inserts it into the point of sale freeing up the employees to focus on other tasks.Understanding an order in the drive-thru using voice is not an easy task and requires deep technology to get to the required high completion rate of orders. The challenges include a very noisy environment, unique speech patterns due to the customer's indecisiveness, different accents, gender, ages, speech from other people in the car, complex multi-turn unstructured conversation, low latency, and more. In order to solve big challenges, we are developing our own speech and natural language understanding tech from the ground up.We are a group of experts in Speech, NLU, and Backend SW. We strongly believe in impact-driven employment where you can work from wherever you're most comfortable and effective. Because of the myriad of challenges and the fast pace, each team member gets to experience a lot of professional growth and ownership.About the Role & Responsibilities:- Our backend is developed all in Python running in the cloud over k8s.- It's not a typical backend interacting with a UI frontend. It handles audio streams in real-time and runs our key AI algorithms.- The role involves designing and implementing complex parts of the backend. This involves distributed architecture as well as concurrency while taking into consideration performance and scale.Requirements- Minimum 5 years of experience as non-web developer- 5+ years experience in Python- Experience in SW design and backend dev- Developed and deployed multiple projects used in production- Experience with Docker, Kubernetes, Microservices, CI/CD, Clouds (AWS/GCP/Azure)- experience with async IO, threading, or concurrent programming- deep control of Python 3 and its standard library.- Lead experience - big advantage Preferred Qualifications:- Experience with real-time audio processingInterview process:- Intro call with HR (30 min)- Live Coding Exercise ( 3 hours) - Technical Interview (1.5 hours)Join us to be a part of an amazing team with great vibes, a company with a lot of freedom of movement, interesting and unique challenges, and an opportunity to influence and build something big."
Senior Data Scientist (Python),,3,51,7,"Unleash your ambition as a Senior Data Scientist! We are looking for a professional who not only has impressive experience in data science but is also ready to take on a driver role, contributing toour Data Competency Center within Sigma Software. The role will involve Solution assessment, pre-sales activities under supervision, architecture design composition, and more.PROJECTWeare ateam of160+professionals. Weare very different, but a few things makeus atrue team: agenuine passion for our work, friendliness, and inexhaustible optimism, nomatter what.Weuse Agile with technical excellence inplace and Kanban approaches todogreat work and make customers happy. Our goal istooffer our clients the best expertise indifferent domains tobring value totheir business and become the best tech partner.Job Description	Work closely with the client (PO) as well as other Team Leads to clarify the tech requirements and expectations	Translate complex business problems into actionable data-driven questions or hypotheses. This will involve working with stakeholders to understand the underlying issues and defining the specific questions that need to be answered through data analysis	Collect data from various sources, identify and address data quality issues, and convert the data into a format suitable for analysis and modeling. This will involve using data wrangling techniques, data cleaning tools, and data quality checks	Apply statistical methods, data visualization techniques, and machine learning algorithms to uncover hidden patterns, trends, and anomalies within the data. These insights will inform the development of effective models and solutions	Select and apply appropriate machine learning or statistical models to address specific business problems. This involves understanding the problem at hand, choosing the right algorithms, training the models on the prepared data, and evaluating their performance	Work with engineers to integrate trained models into production environments, ensuring that they can be used to make real-time predictions or decisions. This involves deploying the models, monitoring their performance, and maintaining them over time	Effectively communicate complex data-driven insights and recommendations to stakeholders in a clear, concise, and actionable manner. This involves using storytelling techniques, visualizations, and presentations to effectively convey the findings and their implications for business decisions	Continuously research and stay up-to-date with the latest advancements in data science, including new algorithms, techniques, and tools, and explore emerging technologies and methodologies. This involves attending conferences, reading research papers, and experimenting with new approaches	Suggest and contribute to training and improvement plans regarding analytical data engineering skills, standards, and processesQualifications	3-5+ years of experience with Python or R	Experience with AWS/Azure	Expertise in machine learning algorithms, including linear regression, clustering, classification, and recommendation systems	Proven ability to create clear, concise, and compelling visualizations using tools like ggplot2, matplotlib, or plotly, Power BI, Tableau, and Qlik	Conceptual understanding of data analysis fundamentals, encompassing ETL, data warehousing, and unstructured data	A comprehensive grasp of deep learning fundamentals, including activation functions, backpropagation, CNNs, Transformers, transfer learning, and generative models	Expertise in evaluating and selecting the most appropriate deep learning model for a given task, including assessing model performance metrics, identifying potential biases, and comparing different model architecturesPERSONAL PROFILE	Analytical and Problem-Solving Skills:	Demonstrated problem-solving and analytical thinking skills, with a proven track record of applying these skills to real-world challenges to identify problems, gather relevant data, and develop creative solutions	Continuous learning mindset, ensuring you stay up-to-date with the latest advancements in deep learning and adapt skills accordingly	Actively participate in the evaluation of new tools for analytical data engineering or data science     Senior Data Scientist!   ,           ,        ,         Sigma Software.    ,    ,     .    160 .   ,    ,     :     ,    ,    .  Agile      Kanban,           .           ,          .	3-5     Python  R	   AWS/Azure	    ,   , ,    	   ,        ,  ggplot2, matplotlib  plotly, Power BI, Tableau  Qlik	    ,  ETL,     	    ,   ,  ,  , ,     	            ,     ,       	    (PO),     Team Lead      	  -     ,    .     ,        ,        	    ,      ,      ,     .      ,       	  ,       ,    ,     .        	             -.    ,   ,         	  ,       ,            .    ,       	              ,    ,    .     ,            -	           ,   ,   ,       .    ,        	        ,      "
Scraping Engineer,,2,167,32,"Job Description:As a Scraping Engineer at GroupBWT, you will play a crucial role in collecting, processing, and analyzing data from various online sources. If you have a passion for data, a strong background in web scraping technologies, and the desire to work on exciting projects, we want to hear from you.Key Responsibilities:- Design and implement web scraping solutions using tools like Scrapy, Puppeteer or Playwright.- Develop and maintain web scraping scripts and pipelines for data extraction.- Collaborate with the QA team to ensure data quality and integrity.- Optimize scraping processes for efficiency and scalability.- Monitor and troubleshoot scraping processes to ensure reliability.- Work closely with cross-functional teams to understand data requirements and deliver timely results.Requirements:- Bachelor's degree in Computer Science, Information Technology, or a related field (or equivalent work experience).- 1,5+ year of commercial experience as Scraping Engineer (Data Extraction Engineer or similar) - Proven experience in web scraping and data extraction using Scrapy.- Strong proficiency in working with databases, including SQL and RDBMS.- Proficiency in Python programming and scripting.- Familiarity with data cleaning, transformation, and normalization techniques: XPath, RegEx, NLP. - Experience in reverse engineering and analysis of web applications- Strong attention to detail and a commitment to delivering high-quality results.- Ability to work independently and as part of a collaborative team.- Understanding of risks and problems related to web scraping process- Basic skills of linux system administration. - English level: upper-intermediate. ability to participate in daily calls with teamNice to Have:- Experience with cloud-based platforms such as AWS or Azure.- Knowledge of data visualization tools and techniques.- Familiarity with NoSQL databases.- Proven experience of overcoming any anti-bot protection systemBenefits:-20+ paid vacation days.-Paid sick leaves.-Health expenses reimbursement.-Besides team buildings and meal reimbursement, ask our recruiters to tell us more about other benefits we offer to local and remote workers."
Python Developer$300-600,$300-600,0,481,55,"BG Games   -,         .           ,          .     ,    2022   BG Crowd.   IT-,                 .                      .          Meta, Google, Amazon, Nvidia, Dell,   .          ,      ,         !  ,        . :-        ;-  ,      ;-       LaTeX     HTML;-   ;-    ;-   . :-   Python;-    ;-    (, , heap, );-       ;-      . :-      ,   , .-   . , . . ;-     ,  LeetCode, CodeForces, SPOJ  Codewars. :-     10.0018.00;-        ;-     ;-      ;-    .  :- '  HR;-  '  ;-   .      ! ,  HRM BG Games"
Networking Engineer,,3,45,1,"Job Description4+ years of proven experience in Python and C/C++ in Linux environment;Expertise in QA manual and automation Expertise in industrial or embedded software development;System-level understanding of networking technologies;Linux user experience;Good understanding of the host stack protocols such as IPv4/IPv6/TCP/UDP;Good knowledge of build systems (Make, CMake, etc.)OpenWrt expirience;Experience with Git/Gitlab;At least Upper-intermediate English level;Experience with FlaskJob ResponsibilitiesEmbedded RTOS-based developmentMaintain an existing codebaseDevelopment of different network bridgesDepartment/Project DescriptionOur customer is a global technology leader that is advancing a sustainable energy future for all. They serve customers in the utility, industry and infrastructure sectors with innovative solutions and services across the value chain.We are proposing highly competitive offering and opportunities for professional growth. Youll have the power to go beyond  doing the work thats transforming how people, businesses and things connect with each other."
Python Engineer (AI)$700-1400,$700-1400,1,331,58,"!        Python Engineer,         AI ,       ,       .1.       awayaway.com.2.  PoC,     , Product Owner-.3.       .1. 1+     Python.2.       ,     / LLM.3.       (PostgreSQL, MySQL).4.      ( 2,    ).5.           . 1.   Fine-tuning   open-source .2.  . -      .-     .-         .-  , ,  .- 20   , 12     , 2     ( ). :'-  --  ' --        ,      ,             "
Full-Stack Engineer (Python + React),,5,41,9,"A well-funded & growing startup is looking for a strong full-stack engineer specializing in infrastructure backend development. Requirements: 5+ years of experience with Pythontrack-record of live appsupper-intermediate EnglishKey Responsibilities:1. Development skill: Design, develop, and maintain high-performance backend systems, APIs & user interfaces using the latest technologies and best practices.2. Infrastructure as Code (IaC): Implement Infrastructure as Code principles to automate the provisioning and management of infrastructure resources, ensuring scalability and reliability.3. Cloud Services: Utilize cloud platforms (e.g., AWS, GCP) to build and deploy infrastructure components, including serverless functions, containers, and databases.4. Performance Optimization: Continuously monitor and optimize backend systems for performance, scalability, and efficiency, identifying and resolving bottlenecks.5. Security: Implement security best practices to safeguard data and systems, including encryption, access controls, and vulnerability assessments.6. Database Management: Design and manage databases to store and retrieve data efficiently, considering data modeling, indexing, and query optimization.7. Collaboration: Collaborate with frontend engineers, DevOps teams, and other stakeholders to ensure seamless integration between the frontend and backend systems.8. Testing and Deployment: Implement automated testing and deployment pipelines to ensure the reliability of infrastructure changes.9. Documentation: Maintain clear and up-to-date documentation of infrastructure architecture, processes, and configurations.Interview stages:1. call with recruiter (20 mins)2. tech interview (1 hour)3. paid test assignment (2-4 hours)4. call with CTO (30 mins)"
